Subject.Code,Group,Speed,Shoe,Footstrike,Age,Mass,Height,Running.Economy,10K.PB,Contact.Time,BP.ratio,LU.ratio,HV.TD,BP.to.LU,SB,SM.Fit
1,1,0,1,1,21.3,63.3,178.6,182.6,29.2,0.214,0.7258,0.7189,0.0005,1.0096,90.5128,69.90147245
1,1,0,1,1,21.3,63.3,178.6,182.6,29.2,0.217,0.8707,0.75,0.008,1.1609,92.5127,69.90147245
1,1,0,1,1,21.3,63.3,178.6,182.6,29.2,0.228,0.7743,0.7338,0.003,1.0552,102.6705,69.90147245
1,1,0,1,1,21.3,63.3,178.6,182.6,29.2,0.223,0.8279,0.9224,-0.006,0.8975,87.7199,69.90147245
1,1,0,1,1,21.3,63.3,178.6,182.6,29.2,0.2245,0.796,0.6754,0.009,1.1786,79.3121,69.90147245
1,1,1,1,1,21.3,63.3,178.6,182.6,29.2,0.1805,0.8802,0.7524,0.007,1.1698,94.4635,124.6659683
1,1,1,1,1,21.3,63.3,178.6,182.6,29.2,0.1765,0.8482,0.7389,0.006,1.1479,91.4397,124.6659683
1,1,1,1,1,21.3,63.3,178.6,182.6,29.2,0.1735,0.8263,0.735,0.005,1.1242,96.3449,124.6659683
1,1,0,0,1,21.3,63.3,178.6,182.6,29.2,0.2225,0.8388,0.9099,-0.0045,0.9219,89.85,108.348658
1,1,0,0,1,21.3,63.3,178.6,182.6,29.2,0.2185,0.8918,0.9083,-0.001,0.9818,89.9372,108.348658
1,1,0,0,1,21.3,63.3,178.6,182.6,29.2,0.2235,0.8625,0.8097,0.0035,1.0652,85.3492,108.348658
1,1,0,0,1,21.3,63.3,178.6,182.6,29.2,0.2155,0.9414,0.8904,0.003,1.0574,93.511,108.348658
1,1,0,0,1,21.3,63.3,178.6,182.6,29.2,0.22,0.8257,0.8644,-0.0025,0.9553,88.3733,108.348658
1,1,1,0,1,21.3,63.3,178.6,182.6,29.2,0.143,0.7439,0.9195,-0.0075,0.8091,85.4521,158.058473
1,1,1,0,1,21.3,63.3,178.6,182.6,29.2,0.15,0.7241,1,-0.012,0.7241,80.7751,158.058473
1,1,1,0,1,21.3,63.3,178.6,182.6,29.2,0.16,0.8824,0.9162,-0.0015,0.9631,89.0749,158.058473
2,1,0,1,1,27,59.1,171.4,196.1,29,0.2335,0.8606,0.8242,0.0025,1.0441,93.3087,79.32491027
2,1,0,1,1,27,59.1,171.4,196.1,29,0.2255,0.895,0.8333,0.004,1.0739,89.4224,79.32491027
2,1,0,1,1,27,59.1,171.4,196.1,29,0.219,0.9211,0.7312,0.0125,1.2596,99.8713,79.32491027
2,1,0,1,1,27,59.1,171.4,196.1,29,0.2165,0.9682,0.7746,0.012,1.2499,94.54,79.32491027
2,1,0,1,1,27,59.1,171.4,196.1,29,0.2195,0.8216,0.7918,0.002,1.0376,91.101,79.32491027
2,1,1,1,1,27,59.1,171.4,196.1,29,0.1745,0.8368,0.8865,-0.0025,0.944,88.2972,50.33913632
2,1,1,1,1,27,59.1,171.4,196.1,29,0.161,0.8941,0.9281,-0.0015,0.9633,86.5609,50.33913632
2,1,1,1,1,27,59.1,171.4,196.1,29,0.174,0.9551,0.9551,0,1,89.0177,50.33913632
2,1,0,0,1,27,59.1,171.4,196.1,29,0.198,0.8857,0.8419,0.0025,1.0521,89.7168,75.26426567
2,1,0,0,1,27,59.1,171.4,196.1,29,0.2075,0.8527,0.8527,0,1,87.9448,75.26426567
2,1,0,0,1,27,59.1,171.4,196.1,29,0.2025,0.9471,0.8664,0.0045,1.0932,90.5762,75.26426567
2,1,0,0,1,27,59.1,171.4,196.1,29,0.2175,1.0139,0.8996,0.0065,1.1271,93.6999,75.26426567
2,1,0,0,1,27,59.1,171.4,196.1,29,0.2345,0.8108,0.9623,-0.01,0.8425,91.3872,75.26426567
2,1,1,0,1,27,59.1,171.4,196.1,29,0.1675,0.7632,0.9364,-0.0085,0.815,84.8038,82.93687286
2,1,1,0,1,27,59.1,171.4,196.1,29,0.141,1.2031,0.972,0.0075,1.2377,109.2823,82.93687286
2,1,1,0,1,27,59.1,171.4,196.1,29,0.1575,0.8208,0.8639,-0.002,0.9501,98.2141,82.93687286
3,1,0,1,1,21.8,51.4,171.5,180.7,28.2,0.241,0.8682,0.9127,-0.003,0.9513,94.658,38.49903208
3,1,0,1,1,21.8,51.4,171.5,180.7,28.2,0.263,1.0231,0.777,0.018,1.3167,97.9844,38.49903208
3,1,0,1,1,21.8,51.4,171.5,180.7,28.2,0.247,0.9297,0.8029,0.009,1.1579,88.0851,38.49903208
3,1,0,1,1,21.8,51.4,171.5,180.7,28.2,0.236,0.9344,0.8295,0.007,1.1266,88.9497,38.49903208
3,1,0,1,1,21.8,51.4,171.5,180.7,28.2,0.257,0.9179,0.8489,0.005,1.0813,94.6488,38.49903208
3,1,1,1,1,21.8,51.4,171.5,180.7,28.2,0.167,0.7216,0.8764,-0.008,0.8234,79.991,40.024807
3,1,1,1,1,21.8,51.4,171.5,180.7,28.2,0.17,0.8889,0.8681,0.001,1.0239,87.1006,40.024807
3,1,1,1,1,21.8,51.4,171.5,180.7,28.2,0.176,0.8526,0.8526,0,1,91.199,40.024807
3,1,0,0,1,21.8,51.4,171.5,180.7,28.2,0.225,0.9231,0.875,0.003,1.0549,93.2969,58.04896038
3,1,0,0,1,21.8,51.4,171.5,180.7,28.2,0.245,0.96,1.0588,-0.006,0.9067,88.9244,58.04896038
3,1,0,0,1,21.8,51.4,171.5,180.7,28.2,0.236,1.0171,0.9504,0.004,1.0702,90.1072,58.04896038
3,1,0,0,1,21.8,51.4,171.5,180.7,28.2,0.222,0.9821,0.85,0.008,1.1555,97.2745,58.04896038
3,1,0,0,1,21.8,51.4,171.5,180.7,28.2,0.203,0.9519,0.8455,0.006,1.1259,95.0325,58.04896038
3,1,1,0,1,21.8,51.4,171.5,180.7,28.2,0.171,0.8191,0.8791,-0.003,0.9318,93.488,100.4871835
3,1,1,0,1,21.8,51.4,171.5,180.7,28.2,0.166,0.908,0.8242,0.004,1.1018,97.3188,100.4871835
3,1,1,0,1,21.8,51.4,171.5,180.7,28.2,0.166,0.766,0.8864,-0.006,0.8642,90.1193,100.4871835
4,1,0,1,0,25.2,49.35,165.7,197.5,28.9,0.195,0.831,0.814,0.001,1.0209,91.2242,97.3318215
4,1,0,1,0,25.2,49.35,165.7,197.5,28.9,0.2065,0.912,0.9032,0.0005,1.0098,88.1591,97.3318215
