Subject,Group,Shoe,Footstrike,Speed,SM.Fit
1,1,0,1,0,108.348658
1,1,0,1,1,158.058473
1,1,1,1,0,69.90147245
1,1,1,1,1,124.6659683
2,1,0,1,0,75.26426567
2,1,0,1,1,82.93687286
2,1,1,1,0,79.32491027
2,1,1,1,1,50.33913632
3,1,0,1,0,58.04896038
3,1,0,1,1,100.4871835
3,1,1,1,0,38.49903208
3,1,1,1,1,40.024807
4,1,0,0,0,98.52773941
4,1,0,0,1,135.1006294
4,1,1,0,0,97.3318215
4,1,1,0,1,165.6155834
5,1,0,1,0,70.76759585
5,1,0,1,1,53.64638527
5,1,1,1,0,51.95469556
5,1,1,1,1,68.15709057
6,1,0,1,0,63.25271645
6,1,0,1,1,51.40351686
6,1,1,1,0,163.0241793
6,1,1,1,1,184.9606276
7,1,0,0,0,97.06319997
7,1,0,0,1,92.88481585
7,1,1,0,0,107.0084813
7,1,1,0,1,110.5698802
8,1,0,0,0,156.6436703
8,1,0,0,1,156.3124047
8,1,1,0,0,146.9596783
8,1,1,0,1,188.4995571
9,1,0,0,0,83.60392189
9,1,0,0,1,94.20059347
9,1,1,0,0,97.49656365
9,1,1,0,1,103.8443604
10,1,0,1,0,106.061074
10,1,0,1,1,128.910764
10,1,1,1,0,155.3077739
10,1,1,1,1,178.0914873
11,1,0,0,0,118.9709586
11,1,0,0,1,163.2355738
11,1,1,0,0,119.8309008
11,1,1,0,1,174.1660676
12,1,0,1,0,84.06226537
12,1,0,1,1,120.8046179
12,1,1,1,0,66.95468366
12,1,1,1,1,48.75064295
13,1,0,0,0,117.1834824
13,1,0,0,1,111.1750108
13,1,1,0,0,59.65658308
13,1,1,0,1,90.05869252
14,1,0,1,0,119.0287004
14,1,0,1,1,134.3523387
14,1,1,1,0,41.26438734
14,1,1,1,1,65.16521287
15,1,0,0,0,149.2930585
15,1,0,0,1,215.9315792
15,1,1,0,0,219.8474228
15,1,1,0,1,207.0101067
16,0,0,0,0,105.2028133
16,0,1,0,0,153.2186153
17,0,0,0,0,99.45651567
17,0,1,0,0,94.51436713
18,0,0,0,0,108.6233761
18,0,1,0,0,152.8076215
19,0,0,0,0,73.89657243
19,0,1,0,0,69.78978673
20,0,0,0,0,172.1796776
20,0,1,0,0,275.988254
21,0,0,1,0,109.4236177
21,0,1,1,0,53.74788846
22,0,0,0,0,171.5817249
22,0,1,0,0,148.2121282
23,0,0,1,0,93.11220219
23,0,1,1,0,68.46422662
24,0,0,0,0,125.1057186
24,0,1,0,0,171.1562325
25,0,0,0,0,129.7141013
25,0,1,0,0,195.5013753
26,0,0,0,0,103.7661893
26,0,1,0,0,154.4929004
27,0,0,0,0,152.1315118
27,0,1,0,0,193.3238419
28,0,0,1,0,116.1567042
28,0,1,1,0,163.2567204
29,0,0,0,0,193.0789255
29,0,1,0,0,239.7235798
30,0,0,0,0,146.4015908
30,0,1,0,0,204.9171098
31,0,0,0,0,144.109823
31,0,1,0,0,236.4604728
32,0,0,0,0,122.9479199
32,0,1,0,0,148.1648597
33,0,0,0,0,168.0787218
33,0,1,0,0,68.82351203
34,0,0,0,0,192.3601175
34,0,1,0,0,282.7899286
35,0,0,0,0,211.25821
35,0,1,0,0,199.0849234
36,0,0,1,0,150.3430245
36,0,1,1,0,73.2010519
37,0,0,1,0,180.3475372
37,0,1,1,0,230.973726
38,0,0,1,0,108.2027452
38,0,1,1,0,58.37640317
39,0,0,0,0,135.4269002
39,0,1,0,0,236.6304423
40,0,0,0,0,87.0309137
40,0,1,0,0,163.8059982
41,0,0,0,0,162.1361518
41,0,1,0,0,250.8440707
